drug	drug_action	KDT	KDT_name	Drug_effect_simplified
Inebilizumab	binder	930	CD19	Ligand
Brexucabtagene autoleucel	binder	930	CD19	Ligand
Blinatumomab	antibody|activator|regulator	930	CD19	Activator
Tositumomab	antibody	931	MS4A1	Modulator
Ibritumomab tiuxetan	antibody|regulator	931	MS4A1	Inhibitor
Ublituximab	binder|antibody	931	MS4A1	Inhibitor
Ofatumumab	antibody|regulator	931	MS4A1	Inhibitor
Obinutuzumab	antibody|regulator	931	MS4A1	Inhibitor
Ocrelizumab	antagonist|antibody	931	MS4A1	Activator
Mosunetuzumab	binder	931	MS4A1	Ligand
Rituximab	antibody|regulator	931	MS4A1	Inhibitor
Inotuzumab ozogamicin	antibody|regulator	933	CD22	Inhibitor
Moxetumomab pasudotox	binder|antibody|regulator	933	CD22	Inhibitor
Belatacept	antagonist	941	CD80	Inhibitor
Abatacept	antagonist	941	CD80	Inhibitor
Antithymocyte immunoglobulin (rabbit)	binder	942	CD86	Ligand
Belatacept	antagonist	942	CD86	Inhibitor
Abatacept	antagonist	942	CD86	Inhibitor
Brentuximab vedotin	binder|antibody|regulator	943	TNFRSF8	Inhibitor
Gemtuzumab ozogamicin	antibody|regulator	945	CD33	Inhibitor
Hyaluronic acid	binder	960	CD44	Ligand
Polatuzumab vedotin	antibody	974	CD79B	Modulator
Cedazuridine	inhibitor	978	CDA	Inhibitor
Ribociclib	antagonist|inhibitor	1019	CDK4	Activator
Palbociclib	inhibitor	1019	CDK4	Inhibitor
Abemaciclib	inhibitor	1019	CDK4	Inhibitor
Trilaciclib	inhibitor	1019	CDK4	Inhibitor
Trilaciclib	inhibitor	1021	CDK6	Inhibitor
Palbociclib	inhibitor	1021	CDK6	Inhibitor
Ribociclib	antagonist|inhibitor	1021	CDK6	Activator
Abemaciclib	inhibitor	1021	CDK6	Inhibitor
Alemtuzumab	antibody	1043	CD52	Modulator
Lumacaftor	modulator	1080	CFTR	Inhibitor
Tezacaftor	activator	1080	CFTR	Activator
Ivacaftor	potentiator	1080	CFTR	Activator
Elexacaftor	modulator	1080	CFTR	Inhibitor
Crofelemer	antagonist	1080	CFTR	Inhibitor
Biperiden	antagonist	1128	CHRM1	Inhibitor
Methscopolamine bromide	antagonist	1128	CHRM1	Inhibitor
Flavoxate	antagonist	1128	CHRM1	Inhibitor
Pirenzepine	antagonist	1128	CHRM1	Inhibitor
Dicyclomine	antagonist	1128	CHRM1	Inhibitor
Homatropine	antagonist	1128	CHRM1	Inhibitor
Benzatropine	antagonist	1128	CHRM1	Inhibitor
Anisotropine methylbromide	antagonist	1128	CHRM1	Inhibitor
Glycopyrronium	antagonist	1128	CHRM1	Inhibitor
Buclizine	antagonist	1128	CHRM1	Inhibitor
Scopolamine	antagonist	1128	CHRM1	Inhibitor
Procyclidine	antagonist	1128	CHRM1	Inhibitor
Tropicamide	antagonist	1128	CHRM1	Inhibitor
Clidinium	antagonist	1128	CHRM1	Inhibitor
Triflupromazine	antagonist	1128	CHRM1	Inhibitor
Homatropine methylbromide	antagonist	1128	CHRM1	Inhibitor
Hyoscyamine	antagonist	1128	CHRM1	Inhibitor
Aclidinium	antagonist	1128	CHRM1	Inhibitor
Mepenzolate	antagonist	1128	CHRM1	Inhibitor
Tolterodine	antagonist	1128	CHRM1	Inhibitor
Oxyphencyclimine	antagonist	1128	CHRM1	Inhibitor
Cyclopentolate	antagonist	1128	CHRM1	Inhibitor
Propantheline	antagonist	1128	CHRM1	Inhibitor
Metoclopramide	agonist	1128	CHRM1	Activator
Profenamine	antagonist	1128	CHRM1	Inhibitor
Trihexyphenidyl	antagonist	1128	CHRM1	Inhibitor
Propiverine	antagonist	1128	CHRM1	Inhibitor
Oxybutynin	antagonist	1128	CHRM1	Inhibitor
Atropine	antagonist	1128	CHRM1	Inhibitor
Carbamoylcholine	agonist	1128	CHRM1	Activator
Cycrimine	antagonist	1128	CHRM1	Inhibitor
Cevimeline	agonist	1128	CHRM1	Activator
Trimebutine	antagonist	1128	CHRM1	Inhibitor
Dosulepin	antagonist	1128	CHRM1	Inhibitor
Ipratropium	antagonist	1128	CHRM1	Inhibitor
Pilocarpine	agonist	1128	CHRM1	Activator
Oxyphenonium	antagonist	1128	CHRM1	Inhibitor
Dimetindene	antagonist	1129	CHRM2	Inhibitor
Homatropine methylbromide	antagonist	1129	CHRM2	Inhibitor
Hyoscyamine	antagonist	1129	CHRM2	Inhibitor
Oxybutynin	antagonist	1129	CHRM2	Inhibitor
Procyclidine	antagonist	1129	CHRM2	Inhibitor
Homatropine	antagonist	1129	CHRM2	Inhibitor
Dosulepin	antagonist	1129	CHRM2	Inhibitor
Glycopyrronium	antagonist	1129	CHRM2	Inhibitor
Atropine	antagonist	1129	CHRM2	Inhibitor
Triflupromazine	antagonist	1129	CHRM2	Inhibitor
Flavoxate	antagonist	1129	CHRM2	Inhibitor
Oxyphencyclimine	antagonist	1129	CHRM2	Inhibitor
Tropicamide	antagonist	1129	CHRM2	Inhibitor
Scopolamine	antagonist	1129	CHRM2	Inhibitor
Propiverine	antagonist	1129	CHRM2	Inhibitor
Pilocarpine	agonist	1129	CHRM2	Activator
Carbamoylcholine	agonist	1129	CHRM2	Activator
Aclidinium	antagonist	1129	CHRM2	Inhibitor
Methscopolamine bromide	antagonist	1129	CHRM2	Inhibitor
Cryptenamine	antagonist	1129	CHRM2	Inhibitor
Rocuronium	antagonist	1129	CHRM2	Inhibitor
Trimebutine	antagonist	1129	CHRM2	Inhibitor
Umeclidinium	antagonist	1129	CHRM2	Inhibitor
Gallamine triethiodide	antagonist	1129	CHRM2	Inhibitor
Ipratropium	antagonist	1129	CHRM2	Inhibitor
Tolterodine	antagonist	1129	CHRM2	Inhibitor
Anisotropine methylbromide	antagonist	1129	CHRM2	Inhibitor
Methacholine	agonist	1129	CHRM2	Activator
Tiotropium	antagonist	1131	CHRM3	Inhibitor
Bethanechol	agonist	1131	CHRM3	Activator
Methacholine	agonist	1131	CHRM3	Activator
Fesoterodine	antagonist	1131	CHRM3	Inhibitor
Isopropamide	antagonist	1131	CHRM3	Inhibitor
Aclidinium	antagonist	1131	CHRM3	Inhibitor
Trimebutine	antagonist	1131	CHRM3	Inhibitor
Hexocyclium	antagonist	1131	CHRM3	Inhibitor
Oxybutynin	antagonist	1131	CHRM3	Inhibitor
Tolterodine	antagonist	1131	CHRM3	Inhibitor
Procyclidine	antagonist	1131	CHRM3	Inhibitor
Darifenacin	antagonist	1131	CHRM3	Inhibitor
Homatropine methylbromide	antagonist	1131	CHRM3	Inhibitor
Solifenacin	antagonist	1131	CHRM3	Inhibitor
Dosulepin	antagonist	1131	CHRM3	Inhibitor
Ipratropium	antagonist	1131	CHRM3	Inhibitor
Umeclidinium	antagonist	1131	CHRM3	Inhibitor
Butylscopolamine	antagonist	1131	CHRM3	Inhibitor
Atropine	antagonist	1131	CHRM3	Inhibitor
Anisotropine methylbromide	antagonist	1131	CHRM3	Inhibitor
Homatropine	antagonist	1131	CHRM3	Inhibitor
Mepenzolate	antagonist	1131	CHRM3	Inhibitor
Scopolamine	antagonist	1131	CHRM3	Inhibitor
Glycopyrronium	antagonist	1131	CHRM3	Inhibitor
Cevimeline	agonist	1131	CHRM3	Activator
Propiverine	antagonist	1131	CHRM3	Inhibitor
Oxyphencyclimine	antagonist	1131	CHRM3	Inhibitor
Pilocarpine	agonist	1131	CHRM3	Activator
Homatropine methylbromide	antagonist	1132	CHRM4	Inhibitor
Scopolamine	antagonist	1132	CHRM4	Inhibitor
Homatropine	antagonist	1132	CHRM4	Inhibitor
Tropicamide	antagonist	1132	CHRM4	Inhibitor
Atropine	antagonist	1132	CHRM4	Inhibitor
Dosulepin	antagonist	1132	CHRM4	Inhibitor
Glycopyrronium	antagonist	1132	CHRM4	Inhibitor
Aclidinium	antagonist	1132	CHRM4	Inhibitor
Trimebutine	antagonist	1132	CHRM4	Inhibitor
Procyclidine	antagonist	1132	CHRM4	Inhibitor
Tolterodine	antagonist	1132	CHRM4	Inhibitor
Aclidinium	antagonist	1133	CHRM5	Inhibitor
Dosulepin	antagonist	1133	CHRM5	Inhibitor
Scopolamine	antagonist	1133	CHRM5	Inhibitor
Atropine	antagonist	1133	CHRM5	Inhibitor
Homatropine methylbromide	antagonist	1133	CHRM5	Inhibitor
Tolterodine	antagonist	1133	CHRM5	Inhibitor
Homatropine	antagonist	1133	CHRM5	Inhibitor
Propiverine	unknown	1133	CHRM5	other
Pipecuronium	antagonist	1135	CHRNA2	Inhibitor
Metocurine	antagonist	1135	CHRNA2	Inhibitor
Tubocurarine	antagonist	1135	CHRNA2	Inhibitor
Rocuronium	antagonist	1135	CHRNA2	Inhibitor
Carbamoylcholine	agonist	1135	CHRNA2	Activator
Pancuronium	antagonist	1135	CHRNA2	Inhibitor
Atracurium besylate	antagonist	1135	CHRNA2	Inhibitor
Doxacurium	antagonist	1135	CHRNA2	Inhibitor
Vecuronium	antagonist	1135	CHRNA2	Inhibitor
Decamethonium	partial agonist	1135	CHRNA2	Modulator
Mivacurium	antagonist	1135	CHRNA2	Inhibitor
Mecamylamine	antagonist	1135	CHRNA2	Inhibitor
Pentolinium	antagonist	1136	CHRNA3	Inhibitor
Varenicline	partial agonist	1137	CHRNA4	Modulator
Nicotine	agonist	1137	CHRNA4	Activator
Methadone	agonist	1139	CHRNA7	Activator
Galantamine	allosteric modulator	1139	CHRNA7	Modulator
Nicotine	agonist	1139	CHRNA7	Activator
Nicotine	agonist	1141	CHRNB2	Activator
Pentolinium	antagonist	1143	CHRNB4	Inhibitor
Creatine	ligand	1152	CKB	Ligand
Creatine	ligand	1158	CKM	Ligand
Creatine	ligand	1159	CKMT1B	Ligand
Creatine	ligand	1160	CKMT2	Ligand
Lubiprostone	inducer	1181	CLCN2	Activator
Mogamulizumab	antagonist	1233	CCR4	Inhibitor
Maraviroc	antagonist|inhibitor	1234	CCR5	Activator
Sulfinpyrazone	inhibitor	1244	ABCC2	Inhibitor
Cannabidiol	antagonist|modulator	1268	CNR1	Activator
Dronabinol	agonist	1268	CNR1	Activator
Rimonabant	antagonist	1268	CNR1	Inhibitor
Nabilone	partial agonist	1268	CNR1	Modulator
Dronabinol	agonist	1269	CNR2	Activator
Nabilone	partial agonist	1269	CNR2	Modulator
Vonicog alfa	binder	1277	COL1A1	Ligand
Von Willebrand factor human	binder	1277	COL1A1	Ligand
Collagenase clostridium histolyticum	binder	1277	COL1A1	Ligand
Collagenase clostridium histolyticum	binder	1280	COL2A1	Ligand
Collagenase clostridium histolyticum	binder	1281	COL3A1	Ligand
Opicapone	inhibitor	1312	COMT	Inhibitor
Entacapone	inhibitor	1312	COMT	Inhibitor
Prothrombin	agonist	1361	CPB2	Activator
Carglumic acid	allosteric modulator	1373	CPS1	Modulator
Perhexiline	inhibitor	1374	CPT1A	Inhibitor
Perhexiline	inhibitor	1376	CPT2	Inhibitor
Pexidartinib	inhibitor	1436	CSF1R	Inhibitor
Sunitinib	inhibitor	1436	CSF1R	Inhibitor
Sargramostim	agonist	1438	CSF2RA	Activator
Foreskin keratinocyte (neonatal)	agonist	1438	CSF2RA	Activator
Sargramostim	agonist	1439	CSF2RB	Activator
Lenograstim	agonist	1441	CSF3R	Activator
Eflapegrastim	ligand	1441	CSF3R	Ligand
Filgrastim	stimulator	1441	CSF3R	Activator
Pegfilgrastim	agonist	1441	CSF3R	Activator
Lipegfilgrastim	agonist	1441	CSF3R	Activator
Ipilimumab	inhibitor|antibody	1493	CTLA4	Inhibitor
Tremelimumab	inhibitor|antibody	1493	CTLA4	Inhibitor
Cobicistat	substrate|inhibitor	1576	CYP3A4	Activator
Aminoglutethimide	inhibitor	1583	CYP11A1	Inhibitor
Levoketoconazole	inhibitor	1583	CYP11A1	Inhibitor
Osilodrostat	inhibitor	1584	CYP11B1	Inhibitor
Levoketoconazole	inhibitor	1584	CYP11B1	Inhibitor
Mitotane	inducer	1584	CYP11B1	Activator
Metyrapone	inhibitor	1584	CYP11B1	Inhibitor
Levoketoconazole	inhibitor	1585	CYP11B2	Inhibitor
Levoketoconazole	inhibitor	1586	CYP17A1	Inhibitor
Abiraterone	inhibitor	1586	CYP17A1	Inhibitor
Ketoconazole	inhibitor	1586	CYP17A1	Inhibitor
Exemestane	inhibitor	1588	CYP19A1	Inhibitor
Aminoglutethimide	inhibitor	1588	CYP19A1	Inhibitor
Testolactone	inhibitor	1588	CYP19A1	Inhibitor
Letrozole	antagonist	1588	CYP19A1	Inhibitor
Anastrozole	inhibitor	1588	CYP19A1	Inhibitor
Itraconazole	inhibitor	1595	CYP51A1	Inhibitor
Dopamine	ligand	1621	DBH	Ligand
Disulfiram	inhibitor	1621	DBH	Inhibitor
Fludarabine	agonist	1633	DCK	Activator
Perindopril	inhibitor	1636	ACE	Inhibitor
Enalaprilat	inhibitor	1636	ACE	Inhibitor
Lisinopril	inhibitor	1636	ACE	Inhibitor
Quinapril	inhibitor	1636	ACE	Inhibitor
Zofenopril	inhibitor	1636	ACE	Inhibitor
Benazepril	inhibitor	1636	ACE	Inhibitor
Fosinopril	inhibitor	1636	ACE	Inhibitor
Spirapril	inhibitor	1636	ACE	Inhibitor
Rescinnamine	inhibitor	1636	ACE	Inhibitor
Moexipril	inhibitor	1636	ACE	Inhibitor
Trandolapril	inhibitor	1636	ACE	Inhibitor
Ramipril	inhibitor	1636	ACE	Inhibitor
Cilazapril	inhibitor	1636	ACE	Inhibitor
Enalapril	inhibitor	1636	ACE	Inhibitor
Captopril	inhibitor	1636	ACE	Inhibitor
Carbidopa	inhibitor	1644	DDC	Inhibitor
Methyldopa	inhibitor	1644	DDC	Inhibitor
Benserazide	inhibitor	1644	DDC	Inhibitor
Ursodeoxycholic acid	inducer	1646	AKR1C2	Activator
Pralatrexate	substrate|inhibitor	1719	DHFR	Activator
Proguanil	inhibitor	1719	DHFR	Inhibitor
Pemetrexed	inhibitor	1719	DHFR	Inhibitor
Pyrimethamine	inhibitor	1719	DHFR	Inhibitor
Trimetrexate	inhibitor	1719	DHFR	Inhibitor
Methotrexate	inhibitor	1719	DHFR	Inhibitor
Leflunomide	inhibitor	1723	DHODH	Inhibitor
Golodirsen	inducer	1756	DMD	Activator
Azacitidine	inhibitor	1786	DNMT1	Inhibitor
Decitabine	inhibitor	1786	DNMT1	Inhibitor
Cilastatin	inhibitor	1800	DPEP1	Inhibitor
Sitagliptin	inhibitor	1803	DPP4	Inhibitor
Saxagliptin	inhibitor	1803	DPP4	Inhibitor
Alogliptin	inhibitor	1803	DPP4	Inhibitor
Linagliptin	inhibitor	1803	DPP4	Inhibitor
Vildagliptin	inhibitor	1803	DPP4	Inhibitor
Tegafur-uracil	antagonist	1806	DPYD	Inhibitor
Fenoldopam	agonist	1812	DRD1	Activator
Perphenazine	antagonist	1812	DRD1	Inhibitor
Pipotiazine	antagonist	1812	DRD1	Inhibitor
Chlorpromazine	antagonist	1812	DRD1	Inhibitor
Levodopa	agonist	1812	DRD1	Activator
Dopamine	agonist	1812	DRD1	Activator
Methylergometrine	antagonist	1812	DRD1	Inhibitor
Fluphenazine	antagonist	1812	DRD1	Inhibitor
Thiothixene	antagonist	1812	DRD1	Inhibitor
Triflupromazine	antagonist	1812	DRD1	Inhibitor
Zuclopenthixol	antagonist	1812	DRD1	Inhibitor
Periciazine	antagonist	1812	DRD1	Inhibitor
Lisuride	agonist	1813	DRD2	Activator
Aripiprazole	antagonist|partial agonist	1813	DRD2	Activator
Trifluoperazine	antagonist	1813	DRD2	Inhibitor
Quetiapine	antagonist	1813	DRD2	Inhibitor
Pipotiazine	antagonist	1813	DRD2	Inhibitor
Amantadine	agonist	1813	DRD2	Activator
Iloperidone	antagonist	1813	DRD2	Inhibitor
Ropinirole	agonist	1813	DRD2	Activator
Buspirone	antagonist	1813	DRD2	Inhibitor
Risperidone	antagonist	1813	DRD2	Inhibitor
Asenapine	antagonist	1813	DRD2	Inhibitor
Methotrimeprazine	antagonist	1813	DRD2	Inhibitor
Fluspirilene	antagonist	1813	DRD2	Inhibitor
Metoclopramide	antagonist	1813	DRD2	Inhibitor
Levodopa	agonist	1813	DRD2	Activator
Cabergoline	agonist	1813	DRD2	Activator
Mesoridazine	antagonist	1813	DRD2	Inhibitor
Promazine	antagonist	1813	DRD2	Inhibitor
Dopamine	agonist	1813	DRD2	Activator
Brexpiprazole	agonist|partial agonist	1813	DRD2	Activator
Pramipexole	agonist	1813	DRD2	Activator
Pimozide	antagonist	1813	DRD2	Inhibitor
Dihydro-alpha-ergocryptine	agonist	1813	DRD2	Activator
Sulpiride	antagonist	1813	DRD2	Inhibitor
Apomorphine	agonist	1813	DRD2	Activator
Lumateperone	partial agonist	1813	DRD2	Modulator
Fluphenazine	antagonist	1813	DRD2	Inhibitor
Aripiprazole lauroxil	partial agonist	1813	DRD2	Modulator
Rotigotine	agonist	1813	DRD2	Activator
Loxapine	antagonist	1813	DRD2	Inhibitor
Zuclopenthixol	antagonist	1813	DRD2	Inhibitor
Prochlorperazine	antagonist	1813	DRD2	Inhibitor
Triflupromazine	antagonist	1813	DRD2	Inhibitor
Haloperidol	antagonist	1813	DRD2	Inhibitor
Clozapine	antagonist	1813	DRD2	Inhibitor
Lurasidone	antagonist	1813	DRD2	Inhibitor
Domperidone	antagonist	1813	DRD2	Inhibitor
Amisulpride	antagonist	1813	DRD2	Inhibitor
Paliperidone	antagonist	1813	DRD2	Inhibitor
Acetophenazine	antagonist	1813	DRD2	Inhibitor
Ziprasidone	antagonist	1813	DRD2	Inhibitor
Molindone	antagonist	1813	DRD2	Inhibitor
Thiothixene	antagonist	1813	DRD2	Inhibitor
Perphenazine	antagonist	1813	DRD2	Inhibitor
Droperidol	antagonist	1813	DRD2	Inhibitor
Chlorpromazine	antagonist	1813	DRD2	Inhibitor
Olanzapine	antagonist	1813	DRD2	Inhibitor
Levodopa	agonist	1814	DRD3	Activator
Pimozide	antagonist	1814	DRD3	Inhibitor
Dopamine	agonist	1814	DRD3	Activator
Apomorphine	agonist	1814	DRD3	Activator
Amisulpride	antagonist	1814	DRD3	Inhibitor
Ropinirole	agonist	1814	DRD3	Activator
Lisuride	agonist	1814	DRD3	Activator
Rotigotine	agonist	1814	DRD3	Activator
Domperidone	antagonist	1814	DRD3	Inhibitor
Pramipexole	agonist	1814	DRD3	Activator
Paliperidone	antagonist	1814	DRD3	Inhibitor
Dihydro-alpha-ergocryptine	partial agonist	1814	DRD3	Modulator
Pramipexole	agonist	1815	DRD4	Activator
Paliperidone	antagonist	1815	DRD4	Inhibitor
Levodopa	agonist	1815	DRD4	Activator
Lisuride	agonist	1815	DRD4	Activator
Dopamine	agonist	1815	DRD4	Activator
Apomorphine	agonist	1815	DRD4	Activator
Rotigotine	agonist	1815	DRD4	Activator
Flibanserin	antagonist|agonist	1815	DRD4	Modulator
Zuclopenthixol	antagonist	1816	DRD5	Inhibitor
Fenoldopam	agonist	1816	DRD5	Activator
Levodopa	agonist	1816	DRD5	Activator
Dopamine	agonist	1816	DRD5	Activator
Tipiracil	inhibitor	1890	TYMP	Inhibitor
Omega-3-carboxylic acids	potentiator	1892	ECHS1	Activator
Ponesimod	agonist|modulator|regulator	1901	S1PR1	Activator
Ozanimod	agonist	1901	S1PR1	Activator
Fingolimod	modulator	1901	S1PR1	Inhibitor
Fingolimod	modulator	1903	S1PR3	Inhibitor
Bosentan	antagonist	1909	EDNRA	Inhibitor
Macitentan	antagonist	1909	EDNRA	Inhibitor
Ambrisentan	antagonist	1909	EDNRA	Inhibitor
Bosentan	antagonist	1910	EDNRB	Inhibitor
Moxetumomab pasudotox	inactivator	1938	EEF2	Activator
Sucralfate	inducer	1950	EGF	Activator
Cetuximab	binder	1956	EGFR	Ligand
Brigatinib	inhibitor	1956	EGFR	Inhibitor
Neratinib	inhibitor	1956	EGFR	Inhibitor
Afatinib	inhibitor	1956	EGFR	Inhibitor
Mobocertinib	inhibitor	1956	EGFR	Inhibitor
Osimertinib	inhibitor|regulator	1956	EGFR	Inhibitor
Gefitinib	antagonist	1956	EGFR	Inhibitor
Erlotinib	antagonist	1956	EGFR	Inhibitor
Foreskin keratinocyte (neonatal)	agonist	1956	EGFR	Activator
Necitumumab	antagonist	1956	EGFR	Inhibitor
Panitumumab	suppressor	1956	EGFR	Inhibitor
Amivantamab	antibody|downregulator	1956	EGFR	Inhibitor
Lapatinib	antagonist	1956	EGFR	Inhibitor
Dacomitinib	inhibitor	1956	EGFR	Inhibitor
Regorafenib	inhibitor	1969	EPHA2	Inhibitor
Dasatinib	antagonist	1969	EPHA2	Inhibitor
Alpha-1-proteinase inhibitor	inhibitor	1991	ELANE	Inhibitor
Belzutifan	inhibitor	2034	EPAS1	Inhibitor
Darbepoetin alfa	agonist	2057	EPOR	Activator
Methoxy polyethylene glycol-epoetin beta	stimulator	2057	EPOR	Activator
Peginesatide	stimulator	2057	EPOR	Activator
Erythropoietin	agonist	2057	EPOR	Activator
Pertuzumab	binder|antibody	2064	ERBB2	Inhibitor
Margetuximab	antagonist	2064	ERBB2	Inhibitor
Lapatinib	antagonist	2064	ERBB2	Inhibitor
Trastuzumab	binder|antibody	2064	ERBB2	Inhibitor
Trastuzumab emtansine	antibody	2064	ERBB2	Modulator
Afatinib	inhibitor	2064	ERBB2	Inhibitor
Tucatinib	inhibitor	2064	ERBB2	Inhibitor
Afatinib	inhibitor	2066	ERBB4	Inhibitor
Estradiol benzoate	agonist	2099	ESR1	Activator
Raloxifene	agonist	2099	ESR1	Activator
"Synthetic Conjugated Estrogens, A"	ligand	2099	ESR1	Ligand
Desogestrel	agonist	2099	ESR1	Activator
Fluoxymesterone	antagonist	2099	ESR1	Inhibitor
Toremifene	modulator	2099	ESR1	Inhibitor
Clomifene	antagonist|agonist	2099	ESR1	Modulator
Conjugated estrogens	agonist	2099	ESR1	Activator
Estradiol dienanthate	agonist	2099	ESR1	Activator
Ethynodiol diacetate	agonist	2099	ESR1	Activator
Quinestrol	agonist|modulator	2099	ESR1	Activator
Bazedoxifene	antagonist|agonist	2099	ESR1	Modulator
Fulvestrant	antagonist	2099	ESR1	Inhibitor
Estradiol valerate	agonist	2099	ESR1	Activator
Estradiol acetate	agonist	2099	ESR1	Activator
Medroxyprogesterone acetate	agonist	2099	ESR1	Activator
Estrone	agonist	2099	ESR1	Activator
Lasofoxifene	antagonist|agonist|negative modulator	2099	ESR1	Activator
Norgestimate	agonist	2099	ESR1	Activator
Levonorgestrel	unknown	2099	ESR1	other
Estrone sulfate	agonist	2099	ESR1	Activator
Ospemifene	antagonist|agonist	2099	ESR1	Modulator
"Synthetic Conjugated Estrogens, B"	ligand	2099	ESR1	Ligand
Estramustine	agonist	2099	ESR1	Activator
Danazol	agonist	2099	ESR1	Activator
Dienestrol	agonist	2099	ESR1	Activator
Tibolone	antagonist|agonist	2099	ESR1	Modulator
Tamoxifen	antagonist|agonist	2099	ESR1	Modulator
Ethinylestradiol	agonist	2099	ESR1	Activator
Estradiol cypionate	agonist	2099	ESR1	Activator
Estradiol	agonist	2099	ESR1	Activator
Estriol	agonist	2099	ESR1	Activator
Mestranol	agonist	2099	ESR1	Activator
Polyestradiol phosphate	agonist	2099	ESR1	Activator
Lasofoxifene	agonist	2100	ESR2	Activator
Estradiol benzoate	agonist	2100	ESR2	Activator
Estradiol	agonist	2100	ESR2	Activator
Estradiol dienanthate	agonist	2100	ESR2	Activator
Estradiol valerate	agonist	2100	ESR2	Activator
Estramustine	unknown	2100	ESR2	other
Conjugated estrogens	agonist	2100	ESR2	Activator
Estradiol cypionate	agonist	2100	ESR2	Activator
Estradiol acetate	agonist	2100	ESR2	Activator
Raloxifene	agonist	2100	ESR2	Activator
Tamoxifen	antagonist|agonist	2100	ESR2	Modulator
Metformin	inhibitor	2110	ETFDH	Inhibitor
Tazemetostat	inhibitor	2146	EZH2	Inhibitor
Anti-inhibitor coagulant complex	agonist	2147	F2	Activator
Dabigatran etexilate	inhibitor	2147	F2	Inhibitor
Turoctocog alfa	binder	2147	F2	Ligand
Argatroban	inhibitor	2147	F2	Inhibitor
Conestat alfa	inhibitor	2147	F2	Inhibitor
Turoctocog alfa pegol	binder	2147	F2	Ligand
Thrombomodulin Alfa	inhibitor	2147	F2	Inhibitor
Antithrombin Alfa	inhibitor	2147	F2	Inhibitor
Bivalirudin	inhibitor	2147	F2	Inhibitor
Vorapaxar	antagonist	2149	F2R	Inhibitor
Tisotumab vedotin	antibody	2152	F3	Modulator
Coagulation factor VII human	activator	2152	F3	Activator
Protein C	inactivator	2153	F5	Activator
Protein S human	antagonist	2153	F5	Inhibitor
Thrombin alfa	activator	2153	F5	Activator
Anti-inhibitor coagulant complex	agonist	2153	F5	Activator
Human thrombin	activator	2153	F5	Activator
Thrombin	activator	2153	F5	Activator
Coagulation Factor IX Human	ligand	2155	F7	Ligand
Anti-inhibitor coagulant complex	agonist	2155	F7	Activator
Coagulation Factor IX (Recombinant)	ligand	2155	F7	Ligand
Nonacog beta pegol	cofactor	2155	F7	other
Nonacog beta pegol	cofactor	2157	F8	other
Human thrombin	activator	2157	F8	Activator
Protein C	inactivator	2157	F8	Activator
Damoctocog alfa pegol	binder	2157	F8	Ligand
Thrombin alfa	activator	2157	F8	Activator
Vonicog alfa	stabilization	2157	F8	other
Coagulation Factor IX (Recombinant)	cofactor	2157	F8	other
Anti-inhibitor coagulant complex	agonist	2157	F8	Activator
Von Willebrand factor human	carrier|stabilization	2157	F8	other
Coagulation Factor IX Human	cofactor	2157	F8	other
Thrombin	activator	2157	F8	Activator
Emicizumab	cofactor	2158	F9	other
Turoctocog alfa	activator	2158	F9	Activator
Antihemophilic factor human	activator	2158	F9	Activator
Coagulation factor VII human	activator	2158	F9	Activator
Turoctocog alfa pegol	activator	2158	F9	Activator
Lonoctocog alfa	cofactor	2158	F9	other
"Antihemophilic factor, human recombinant"	cofactor	2158	F9	other
Moroctocog alfa	cofactor	2158	F9	other
Emicizumab	activator	2159	F10	Activator
Nonacog beta pegol	agonist	2159	F10	Activator
Edoxaban	inhibitor	2159	F10	Inhibitor
Bemiparin	antagonist	2159	F10	Inhibitor
Coagulation factor VII human	activator	2159	F10	Activator
Turoctocog alfa pegol	activator	2159	F10	Activator
Coagulation Factor IX (Recombinant)	activator	2159	F10	Activator
Moroctocog alfa	activator	2159	F10	Activator
Lonoctocog alfa	activator	2159	F10	Activator
Antihemophilic factor human	activator	2159	F10	Activator
Rivaroxaban	antagonist	2159	F10	Inhibitor
Anti-inhibitor coagulant complex	agonist	2159	F10	Activator
Antithrombin Alfa	inhibitor	2159	F10	Inhibitor
Coagulation Factor IX Human	activator	2159	F10	Activator
Heparin	inhibitor	2159	F10	Inhibitor
Enoxaparin	inhibitor	2159	F10	Inhibitor
Apixaban	inhibitor	2159	F10	Inhibitor
"Antihemophilic factor, human recombinant"	activator	2159	F10	Activator
Fondaparinux	inhibitor	2159	F10	Inhibitor
Albutrepenonacog alfa	activator	2159	F10	Activator
Turoctocog alfa	activator	2159	F10	Activator
Betrixaban	inhibitor	2159	F10	Inhibitor
Protein S human	antagonist	2159	F10	Inhibitor
Human C1-esterase inhibitor	inhibitor	2160	F11	Inhibitor
Human thrombin	activator	2160	F11	Activator
Coagulation Factor IX Human	ligand	2160	F11	Ligand
Thrombin	activator	2160	F11	Activator
Conestat alfa	inhibitor	2160	F11	Inhibitor
Coagulation Factor IX (Recombinant)	ligand	2160	F11	Ligand
Human C1-esterase inhibitor	inhibitor	2161	F12	Inhibitor
Conestat alfa	inhibitor	2161	F12	Inhibitor
Thrombin	activator	2162	F13A1	Activator
Anti-inhibitor coagulant complex	agonist	2162	F13A1	Activator
Prothrombin	agonist	2162	F13A1	Activator
Human thrombin	activator	2162	F13A1	Activator
Thrombin	activator	2165	F13B	Activator
Human thrombin	activator	2165	F13B	Activator
